Instancia,Clase,Algoritmo,Avg_Vehiculos,Avg_Distancia,BKS_Vehiculos,BKS_Distancia,GAP_Vehiculos(%),GAP_Distancia(%),GAP_Unificado(%)
c101,C1,CLASSIC,10.0,828.94,10,828.94,0.0,0.0,0.0
c101,C1,QLEARNING,10.0,828.94,10,828.94,0.0,0.0,0.0
c102,C1,CLASSIC,10.0,828.94,10,828.94,0.0,0.0,0.0
c102,C1,QLEARNING,10.0,828.94,10,828.94,0.0,0.0,0.0
c103,C1,CLASSIC,10.0,828.07,10,828.06,0.0,0.0012076419583248305,9.917874061360723e-06
c103,C1,QLEARNING,10.0,828.07,10,828.06,0.0,0.0012076419583248305,9.917874061360723e-06
c104,C1,CLASSIC,10.0,824.78,10,824.78,0.0,0.0,0.0
c104,C1,QLEARNING,10.0,824.78,10,824.78,0.0,0.0,0.0
c105,C1,CLASSIC,10.0,828.94,10,828.94,0.0,0.0,0.0
c105,C1,QLEARNING,10.0,828.94,10,828.94,0.0,0.0,0.0
c106,C1,CLASSIC,10.0,828.94,10,828.94,0.0,0.0,0.0
c106,C1,QLEARNING,10.0,828.94,10,828.94,0.0,0.0,0.0
c107,C1,CLASSIC,10.0,828.94,10,828.94,0.0,0.0,0.0
c107,C1,QLEARNING,10.0,828.94,10,828.94,0.0,0.0,0.0
c108,C1,CLASSIC,10.0,828.94,10,828.94,0.0,0.0,0.0
c108,C1,QLEARNING,10.0,828.94,10,828.94,0.0,0.0,0.0
c109,C1,CLASSIC,10.0,828.94,10,828.94,0.0,0.0,0.0
c109,C1,QLEARNING,10.0,828.94,10,828.94,0.0,0.0,0.0
c201,C2,CLASSIC,3.0,591.56,3,591.56,0.0,0.0,0.0
c201,C2,QLEARNING,3.0,591.56,3,591.56,0.0,0.0,0.0
c202,C2,CLASSIC,3.0,591.56,3,591.56,0.0,0.0,0.0
c202,C2,QLEARNING,3.0,591.56,3,591.56,0.0,0.0,0.0
c203,C2,CLASSIC,3.0,591.17,3,591.17,0.0,0.0,0.0
c203,C2,QLEARNING,3.0,591.17,3,591.17,0.0,0.0,0.0
c204,C2,CLASSIC,3.0,590.6,3,590.6,0.0,0.0,0.0
c205,C2,CLASSIC,3.0,588.88,3,588.88,0.0,0.0,0.0
c204,C2,QLEARNING,3.0,590.6,3,590.6,0.0,0.0,0.0
c205,C2,QLEARNING,3.0,588.88,3,588.88,0.0,0.0,0.0
c206,C2,CLASSIC,3.0,588.49,3,588.49,0.0,0.0,0.0
c206,C2,QLEARNING,3.0,588.49,3,588.49,0.0,0.0,0.0
c207,C2,CLASSIC,3.0,588.29,3,588.29,0.0,0.0,0.0
c207,C2,QLEARNING,3.0,588.29,3,588.29,0.0,0.0,0.0
